#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
1,Drawblogs @UCkuPobJMx7DPUdwlVo1TFfA,14.5M,-,Peru,,4.4M,Drawblogs,14300000,1732418680,540
2,Golemcito Games @UC6Ij1c74Gm-TicYZsKL1FAw,10.9M,-,Peru,,3.3M,Golemcito Games,11600000,1232594355,609
3,América tv - Novels @UCGGry4kGWZUqIfG6LLNhOmg,5.7M,-,Peru,,1.7M,América Televisión,7310000,6379395245,55856
4,Luay @UCWjgg6SMQiSQY8cUjCm2skg,5.6M,-,Peru,,1.7M,Luay,5580000,803273752,1660
5,whatthechic @UC7ws6SJL00PEUYEk3txx2Ng,5.4M,-,Peru,,1.6M,whatthechic,5360000,537023195,823
6,Latina.pe @UC3rDtLrcgr3JS3_3JOW4BAw,4.9M,-,Peru,,1.5M,Latina Televisión,5400000,2072706834,38794
7,whatdafaqshow @UCtJkNv0rghEOOiz87xT4C5A,4.9M,0.10%,Peru,,1.5M,whatdafaqshow,4890000,702670533,966
8,Memes Random @UCAAY6ZLN2CBRXvL-0eEmD2A,4.6M,-,Peru,,1.4M,Memes Random,4730000,1369251804,626
9,TrapUrbanoTV @UCuan9ktW5YOp-QiYVZhj64w,3.9M,-,Peru,,1.2M,TrapUrbanoTV,3870000,65460,16
10,RoxiCake Gamer @UC3t7_hgqy-7pccSWRVaTQIw,3.6M,2.60%,Peru,,1.1M,RoxiCake Gamer,10700000,3409992396,683
11,ElioDt @UCKN-UFOynT8nJp2SXpU9Xgg,3.5M,-,Peru,,1.1M,ElioDt,3600000,881088959,699
12,Ricardotaku @UCADPsQ4gT36DgXDB2_-wdeA,3.3M,1.90%,Peru,,996K,Ricardotaku,3280000,348657828,180
13,Al Fondo hay Sitio - AFHS @UCRFUzVEen4SIFW1pJn0u0nw,3.1M,-,Peru,,942K,Al Fondo hay Sitio - AFHS,3980000,7414454594,15587
14,Nerdaily @UC5j869htDIpIv9zNW3jK0Jw,3M,-,Peru,,912K,Nerdaily,3450000,742981109,239
15,Sant @UCz7SWZVdyNbB3YGe64AEeuw,3M,0.10%,Peru,,885K,Sant,3310000,806755640,1861
16,tallermanualperu @UCAs3uELe9BMFvJCd0WP-AQg,2.8M,-,Peru,Fashion,834K,tallermanualperu,3210000,486288917,1781
17,EducaBabyTV @UCNi33ipfYhXpSm9sLwyzS8A,2.7M,-,Peru,,810K,EducaBabyTV,2930000,1466932737,107
18,HBD - Detodoy Rap @UCtCuk2evpLat7Y-Hx6HCDqQ,2.6M,0.10%,Peru,,765K,HBD - Detodoy Rap,2680000,400934073,738
19,Harrix @UCUOvQWNdOMJnJzz4fZXLkyA,2.4M,0.20%,Peru,,720K,Harrix,4070000,588476820,1345
20,Capitan Gato @UCGrB-QOL8gg7ouOJ80hO7Sg,2.4M,6.50%,Peru,,720K,Capitan Gato,2910000,300238242,204
21,AlecchiMan @UCtRQid0s3Tj1lVB5tbGOb6A,2.3M,0.90%,Peru,,702K,AlecchiMan,2850000,678513843,221
22,Di EQUISDE @UCKk30EIpXiAyVn6WfwVQF6w,2.3M,-,Peru,,693K,Di EQUISDE,2370000,356719860,891
23,ANIMEMES @UCJWkJWw61WCjVetdQLsFN-w,2.3M,-,Peru,,690K,ANIMEMES,2200000,546471503,347
24,Pepe El Mago @UCqBAbqbx4q7G5upsptccdPA,2.3M,0.70%,Peru,,687K,Pepe El Mago,2610000,632456813,404
25,Andynsaane @UCF2BD7I7BBphXgCpMBrVL0g,2.3M,-,Peru,,675K,Andynsaane,2210000,251795224,319
26,Faraón Love Shady @UCd93aZEa_hA9aj51OOm45sw,2.2M,15.40%,Peru,,666K,Faraón Love Shady,2360000,322793651,19
27,Ramix @UCEpkEj45RHLAI-9ra6qluIA,2.1M,-,Peru,,642K,Ramix,4180000,1060824425,572
28,Flutter525 @UChU79FLnClqlRSTSZe3EjNA,2M,-,Peru,Celebrity,615K,Flutter525,2190000,1886785050,1423
29,Wadatops @UCNDmFX0pZJJf54g8a_g0Hyg,2M,0.10%,Peru,,612K,Wadatops,2070000,430586401,153
30,Indie Arts Kenel @UCw6LEqOUioR-Nqq1gTpOIAQ,2M,-,Peru,,606K,Indie Arts Kenel,2070000,444716513,740
31,Paula Urbaez @UCw0fg0BqrR5kcDUOcD7Hh5A,2M,-,Peru,,597K,Paula Urbaez,4980000,1988771516,1754
32,Matemóvil @UCvTyXJuQyAqG2UxzI8jtc2g,1.9M,-,Peru,,579K,Matemóvil,2220000,242211344,919
33,Vida Saludable @UCpqVciRTwpqcDiB24isrSSg,1.9M,-,Peru,,573K,Vida Saludable,1990000,98868006,930
34,Luna Mia @UCCTMAC4K_oTsLqba4jU76-w,1.9M,-,Peru,,570K,Luna Mia,2090000,320707274,580
35,GraciasporAparecerenmiVida @UCzNP80n8ocRnY_hXSJocKFg,1.9M,-,Peru,,570K,GraciasporAparecerenmiVida,2000000,333304482,954
36,Milagros Ena @UCog9yABBGhDcu-tDDbCJQDg,1.9M,-,Peru,,558K,Tejidos a crochet con Milagros Ena Castillo ,2070000,339988563,1185
37,Gstech @UCy6cu2GUe08kPUfRwuJMONg,1.9M,-,Peru,Celebrity Technology,558K,GStech,1890000,252837638,828
38,PEINÓPOLIS (Trenzas y Peinados) @UCGmIFEsrfvKrX8XFx9MXImQ,1.8M,-,Peru,,543K,PEINÓPOLIS (Trenzas y Peinados),1890000,249183761,620
39,GatoTom music @UCJ5o-Ll4Sj8N5WOuatpicUg,1.8M,-,Peru,,537K,GatoTom music,1850000,639000351,847
40,Ekaty @UCuPfFwTjp0EUjawrt0UWncw,1.8M,-,Peru,,531K,Ekaty,1820000,109726348,319
41,EEG @UCZSJ9bCN0Kh8vJImfacvkFg,1.8M,-,Peru,,525K,EEG,1830000,1836990163,18739
42,Dayiro Castañeda @UCvJocPN32o3PH8643MEKlSA,1.7M,-,Peru,,510K,Dayiro Castañeda,1810000,909760621,109
43,TheDracerGx @UC1oVDo0rD0NfRcE3KP_qvyQ,1.7M,-,Peru,,498K,TheDracerGx,1850000,430849294,1926
44,Mishifu @UC_cwOgdqxY0VPVGiQZdJtnA,1.7M,-,Peru,,495K,Mishifu,1820000,553770150,580
45,Gravity Play @UCwlVi_yLZjvQdeWqSDRpJ6w,1.7M,0.60%,Peru,,495K,Gravity Play,6670000,967827872,1610
46,AQUINO @UCKuufKpyTISGU1TGj9n0q2A,1.7M,2.70%,Peru,,495K,AQUINO,1760000,398662340,541
47,Muy Fácil De Hacer @UCyviADt1A0vK8HpBxugeIVw,1.6M,-,Peru,,483K,Muy Fácil De Hacer,1660000,308777876,463
48,Hablando Huevadas @UCba1vMvOHWlMddLARS382Zw,1.6M,4.80%,Peru,,483K,Hablando Huevadas,4950000,1951809653,1039
49,Cosas Geniales @UC4KBb5dc273YV0VLzOQuI7A,1.5M,-,Peru,,462K,Cosas Geniales,1510000,44695249,98
50,Corazón Serrano @UCF-1xB_VwVjN4lUPsh8PryQ,1.5M,0.50%,Peru,,450K,Corazón Serrano,2000000,1931509594,283
51,EzraHoward @UCrydzgkJebdfqc0Fvwf4Dcg,1.5M,-,Peru,,441K,EzraHoward,1460000,158094302,257
52,Darek @UCJL-S1GilHUxY_6XWc8ei7w,1.4M,0.10%,Peru,,429K,Darek,3300000,992044739,3193
53,Megabuster @UCxuyAkyOyPc1joeeW7XLLJQ,1.4M,-,Peru,,429K,Megabuster,1500000,191881622,397
54,Peluche19 FF @UCtO0r58CfwvtxnWPst2he3g,1.4M,0.90%,Peru,,429K,Peluche19 FF,7470000,785690800,892
55,JC Gigamisterios @UCQ3zNtUFa8nSG1Tncsr-cWQ,1.4M,-,Peru,,408K,JC Gigamisterios,1430000,60289939,172
56,Bunny TV @UCObyQHIer1g1pzQVANUPw3A,1.4M,1.20%,Peru,,405K,Bunny TV,1490000,75765281,114
57,DarthLogan @UCKvftpJ9gFbdJwrNi7syBSA,1.3M,-,Peru,,402K,DarthLogan,1350000,9346944,20
58,SoyTomas @UCyBMvhPlYtRoDqU1e0MLXlw,1.3M,-,Peru,,402K,SoyTomas,1330000,106780065,190
59,Ahora te cuento @UCaYGWwdIj4xuDIW5vOzr8Nw,1.3M,3.50%,Peru,,399K,Ahora te cuento,2920000,770993457,372
60,El Tío Tech @UC1DggK5BjCUPWNgZRy0esRQ,1.3M,-,Peru,,399K,El Tío Tech,1720000,406334913,1484
61,Latina Noticias @UCpSJ5fGhmAME9Kx2D3ZvN3Q,1.3M,-,Peru,,396K,Latina Noticias,1990000,1038198819,43870
62,Leidhmat @UCcbC2tHyWQ-0X2fSTILlIaw,1.3M,-,Peru,,396K,Leidhmat,2770000,34356530,3064
63,josi @UCqiRylQrdAIvGbyt5KPcfEg,1.3M,11.30%,Peru,,390K,josi,1250000,26139928,25
64,América Noticias @UCPhm2I2wk4vqjENwhn3px8A,1.3M,-,Peru,,387K,América Noticias,1620000,697247619,25573
65,Rongel Nakem @UCsDN1kifkledAQ8inUCVGgg,1.3M,-,Peru,,387K,Rongel Nakem,1370000,35035793,65
66,Cantale @UCC6jEV2ABF1rKo6YLSIk19Q,1.3M,-,Peru,,384K,Cantale,1490000,47130947,258
67,Juanito y Richard @UCfiBnBtw8iNbX8vL4f6cp0Q,1.3M,0.20%,Peru,,375K,Juanito y Richard,1520000,390505282,286
68,Alcadeno @UC7EgN0_nONgpXzmHwGWbhPw,1.2M,-,Peru,,372K,Alcadeno,1210000,104041609,834
69,Odilon Huamani @UCT2JPnLdgkPnptb3PQdB5Hg,1.2M,-,Peru,,372K,Odilon Huamani,1560000,1029933083,420
70,LINEA DE TIEMPO @UCpa523oHE_iRutAewYp3v_w,1.2M,-,Peru,,369K,LINEA DE TIEMPO,1870000,544311212,1077
71,XJared10 @UCTgzQuIlt9yhH48n84fX8pQ,1.2M,-,Peru,,360K,Mundo del Humor,1200000,8695562,92
72,Luis Lovon @UCyDbMpqtBxfTQU7ABIF70AA,1.2M,-,Peru,,360K,Luis Lovon,1350000,228952826,606
73,Pepe el Mago Juega @UCM-Q21rFJyjZA1fvg2cqKYw,1.2M,0.30%,Peru,,351K,Pepe el Mago Juega,1420000,539291473,2969
74,Un Mundo De Historias @UCXiPFoqWWLmDC0aPNXe7PJg,1.2M,-,Peru,,348K,Un Mundo De Historias,1420000,244599242,449
75,notepiquestv @UCVIiKvrQ8K8MqHuC1b-S70w,1.2M,-,Peru,,348K,notepiquestv,1170000,144636376,320
76,Reggaeton & Trap @UCyXxTWEJOO2F4JxT8CNZGdQ,1.2M,0.30%,Peru,,345K,Reggaeton & Trap,1180000,160396593,152
77,Martin Catalogne Makeup @UCokBc8rovET0mE_wO37mYXQ,1.1M,0.30%,Peru,,342K,Martin Catalogne Makeup,1170000,146226382,1591
78,Tongo Oficial @UCIm5dgSJPmVBkz7CKuGtwFQ,1.1M,0.10%,Peru,,336K,Tongo Oficial,1140000,134269740,581
79,Jeffar Vlogs @UCHr6rOAFSuZA6KOeGyLrEOQ,1.1M,0.60%,Peru,,336K,Jeffar Vlogs,1350000,208171592,518
80,Bartolito @UCsgUqltFhaGFjz4pvJ0CTTQ,1.1M,-,Peru,,330K,Bartolito,1690000,334232079,1182
81,Samir velasquez @UCINvgwTzPzzWbCFbcn1fFmQ,1.1M,-,Peru,,321K,Samir velasquez,1070000,148623297,337
82,Giancarlo Velazco @UCSHp6wzQ9Loq6pmSi-n4VXg,1.1M,-,Peru,,321K,MoonwalkerTV,1360000,5466954,26
83,JaneLK Ideas @UChV3EJKbGklQ8pUC2Qt-Ymw,1.1M,0.10%,Peru,,315K,JaneLK Ideas,1200000,167434385,449
84,Misias pero viajeras @UCknQM__AyaqSdxunkqpavDg,1.1M,0.40%,Peru,,315K,Misias pero viajeras,1260000,148948680,522
85,Roart @UChh-bXBQTrMQIJackwys2dQ,1M,0.10%,Peru,,309K,Roart,1070000,267449714,210
86,Aprendiendo a Cocinar Como Mamá @UC3S_MrM4E5icPagCdW6wc1w,1M,-,Peru,,306K,Aprendiendo a Cocinar Como Mamá,1160000,148349979,432
87,delquillabambino @UCfCqFAMfZ771IrBf7sFJcRA,1M,-,Peru,,306K,delquillabambino,1020000,136219879,110
88,Magaly ATV @UCF6s3gpbZEQKqZ38VvQ0gLA,1M,-,Peru,,300K,Magaly ATV,1240000,594527875,10847
89,ArturoR15 @UCCYtO-IuoJ2Pu5UlPdzgQ6g,1M,-,Peru,,300K,ArturoR15,977000,64592982,292
90,NES QUIN @UCUOheTWut65njw8U_7S98pQ,1M,-,Peru,,300K,NES QUIN,1340000,663581923,1181
91,Malucci @UCWYaqvLXPJrSISmZWG2AAvQ,1M,1.10%,Peru,,300K,Malucci,1210000,265904518,41
92,anrock @UC5-kZ2oIAYjzVEdLoDDp34g,1M,0.20%,Peru,,300K,Anrock,988000,20936668,69
93,FanDom @UCLkmEqfMVlwItXm7ifldGKQ,1M,0.30%,Peru,,300K,FanDom,1080000,206277516,1533
94,Zombieverso @UCbvSVVf3HAm7upmlkqU2d8Q,985K,0.70%,Peru,,295.5K,Zombieverso,1150000,168911805,327
95,NaciónUrbanaTV @UCkueSkG3blusetSpIdJsicQ,979K,0.20%,Peru,,293.7K,NaciónUrbanaTV,1080000,339783518,122
96,Easy Kitchen of Rosana @UCSC_5MAZDBZvWt4ycF0Lmhg,977K,-,Peru,,293.1K,Cocina Facil de Rosana,1080000,123150603,1105
97,El Basurero de Daarick @UCGA6Zu0wxKCnW9W0crxoneQ,975K,-,Peru,,292.5K,Daarick,987000,370374525,2530
98,Luisardo @UCR5a11Jjd_b5FoEA8yYenZg,963K,-,Peru,,288.9K,Luisardo,1220000,185729972,149
