#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Drawblogs @UCkuPobJMx7DPUdwlVo1TFfA,14.5M,-,Peru,,4.4M
2,Golemcito Games @UC6Ij1c74Gm-TicYZsKL1FAw,10.9M,-,Peru,,3.3M
3,América tv - Novels @UCGGry4kGWZUqIfG6LLNhOmg,5.7M,-,Peru,,1.7M
4,Luay @UCWjgg6SMQiSQY8cUjCm2skg,5.6M,-,Peru,,1.7M
5,whatthechic @UC7ws6SJL00PEUYEk3txx2Ng,5.4M,-,Peru,,1.6M
6,Latina.pe @UC3rDtLrcgr3JS3_3JOW4BAw,4.9M,-,Peru,,1.5M
7,whatdafaqshow @UCtJkNv0rghEOOiz87xT4C5A,4.9M,0.10%,Peru,,1.5M
8,Memes Random @UCAAY6ZLN2CBRXvL-0eEmD2A,4.6M,-,Peru,,1.4M
9,TrapUrbanoTV @UCuan9ktW5YOp-QiYVZhj64w,3.9M,-,Peru,,1.2M
10,RoxiCake Gamer @UC3t7_hgqy-7pccSWRVaTQIw,3.6M,2.60%,Peru,,1.1M
11,ElioDt @UCKN-UFOynT8nJp2SXpU9Xgg,3.5M,-,Peru,,1.1M
12,Ricardotaku @UCADPsQ4gT36DgXDB2_-wdeA,3.3M,1.90%,Peru,,996K
13,Al Fondo hay Sitio - AFHS @UCRFUzVEen4SIFW1pJn0u0nw,3.1M,-,Peru,,942K
14,Nerdaily @UC5j869htDIpIv9zNW3jK0Jw,3M,-,Peru,,912K
15,Sant @UCz7SWZVdyNbB3YGe64AEeuw,3M,0.10%,Peru,,885K
16,tallermanualperu @UCAs3uELe9BMFvJCd0WP-AQg,2.8M,-,Peru,Fashion,834K
17,EducaBabyTV @UCNi33ipfYhXpSm9sLwyzS8A,2.7M,-,Peru,,810K
18,HBD - Detodoy Rap @UCtCuk2evpLat7Y-Hx6HCDqQ,2.6M,0.10%,Peru,,765K
19,Harrix @UCUOvQWNdOMJnJzz4fZXLkyA,2.4M,0.20%,Peru,,720K
20,Capitan Gato @UCGrB-QOL8gg7ouOJ80hO7Sg,2.4M,6.50%,Peru,,720K
21,AlecchiMan @UCtRQid0s3Tj1lVB5tbGOb6A,2.3M,0.90%,Peru,,702K
22,Di EQUISDE @UCKk30EIpXiAyVn6WfwVQF6w,2.3M,-,Peru,,693K
23,ANIMEMES @UCJWkJWw61WCjVetdQLsFN-w,2.3M,-,Peru,,690K
24,Pepe El Mago @UCqBAbqbx4q7G5upsptccdPA,2.3M,0.70%,Peru,,687K
25,Andynsaane @UCF2BD7I7BBphXgCpMBrVL0g,2.3M,-,Peru,,675K
26,Faraón Love Shady @UCd93aZEa_hA9aj51OOm45sw,2.2M,15.40%,Peru,,666K
27,Ramix @UCEpkEj45RHLAI-9ra6qluIA,2.1M,-,Peru,,642K
28,Flutter525 @UChU79FLnClqlRSTSZe3EjNA,2M,-,Peru,Celebrity,615K
29,Wadatops @UCNDmFX0pZJJf54g8a_g0Hyg,2M,0.10%,Peru,,612K
30,Indie Arts Kenel @UCw6LEqOUioR-Nqq1gTpOIAQ,2M,-,Peru,,606K
31,Paula Urbaez @UCw0fg0BqrR5kcDUOcD7Hh5A,2M,-,Peru,,597K
32,Matemóvil @UCvTyXJuQyAqG2UxzI8jtc2g,1.9M,-,Peru,,579K
33,Vida Saludable @UCpqVciRTwpqcDiB24isrSSg,1.9M,-,Peru,,573K
34,Luna Mia @UCCTMAC4K_oTsLqba4jU76-w,1.9M,-,Peru,,570K
35,GraciasporAparecerenmiVida @UCzNP80n8ocRnY_hXSJocKFg,1.9M,-,Peru,,570K
36,Milagros Ena @UCog9yABBGhDcu-tDDbCJQDg,1.9M,-,Peru,,558K
37,Gstech @UCy6cu2GUe08kPUfRwuJMONg,1.9M,-,Peru,Celebrity Technology,558K
38,PEINÓPOLIS (Trenzas y Peinados) @UCGmIFEsrfvKrX8XFx9MXImQ,1.8M,-,Peru,,543K
39,GatoTom music @UCJ5o-Ll4Sj8N5WOuatpicUg,1.8M,-,Peru,,537K
40,Ekaty @UCuPfFwTjp0EUjawrt0UWncw,1.8M,-,Peru,,531K
41,EEG @UCZSJ9bCN0Kh8vJImfacvkFg,1.8M,-,Peru,,525K
42,Dayiro Castañeda @UCvJocPN32o3PH8643MEKlSA,1.7M,-,Peru,,510K
43,TheDracerGx @UC1oVDo0rD0NfRcE3KP_qvyQ,1.7M,-,Peru,,498K
44,Mishifu @UC_cwOgdqxY0VPVGiQZdJtnA,1.7M,-,Peru,,495K
45,Gravity Play @UCwlVi_yLZjvQdeWqSDRpJ6w,1.7M,0.60%,Peru,,495K
46,AQUINO @UCKuufKpyTISGU1TGj9n0q2A,1.7M,2.70%,Peru,,495K
47,Muy Fácil De Hacer @UCyviADt1A0vK8HpBxugeIVw,1.6M,-,Peru,,483K
48,Hablando Huevadas @UCba1vMvOHWlMddLARS382Zw,1.6M,4.80%,Peru,,483K
49,Cosas Geniales @UC4KBb5dc273YV0VLzOQuI7A,1.5M,-,Peru,,462K
50,Corazón Serrano @UCF-1xB_VwVjN4lUPsh8PryQ,1.5M,0.50%,Peru,,450K
51,EzraHoward @UCrydzgkJebdfqc0Fvwf4Dcg,1.5M,-,Peru,,441K
52,Darek @UCJL-S1GilHUxY_6XWc8ei7w,1.4M,0.10%,Peru,,429K
53,Megabuster @UCxuyAkyOyPc1joeeW7XLLJQ,1.4M,-,Peru,,429K
54,Peluche19 FF @UCtO0r58CfwvtxnWPst2he3g,1.4M,0.90%,Peru,,429K
55,JC Gigamisterios @UCQ3zNtUFa8nSG1Tncsr-cWQ,1.4M,-,Peru,,408K
56,Bunny TV @UCObyQHIer1g1pzQVANUPw3A,1.4M,1.20%,Peru,,405K
57,DarthLogan @UCKvftpJ9gFbdJwrNi7syBSA,1.3M,-,Peru,,402K
58,SoyTomas @UCyBMvhPlYtRoDqU1e0MLXlw,1.3M,-,Peru,,402K
59,Ahora te cuento @UCaYGWwdIj4xuDIW5vOzr8Nw,1.3M,3.50%,Peru,,399K
60,El Tío Tech @UC1DggK5BjCUPWNgZRy0esRQ,1.3M,-,Peru,,399K
61,Latina Noticias @UCpSJ5fGhmAME9Kx2D3ZvN3Q,1.3M,-,Peru,,396K
62,Leidhmat @UCcbC2tHyWQ-0X2fSTILlIaw,1.3M,-,Peru,,396K
63,josi @UCqiRylQrdAIvGbyt5KPcfEg,1.3M,11.30%,Peru,,390K
64,América Noticias @UCPhm2I2wk4vqjENwhn3px8A,1.3M,-,Peru,,387K
